Age,Age_Group,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,predicted_label,Attrition,true_label
24,Under 30,Female,Sales,Manufacturing Director,18746,4,3,10,No,0,No,0
33,30-39,Male,Sales,Sales Executive,3126,4,2,26,No,0,No,0
56,50+,Male,Research & Development,Research Director,9634,2,2,11,No,0,No,0
36,30-39,Male,Research & Development,Research Scientist,17096,2,2,4,No,0,No,0
52,50+,Female,Research & Development,Research Director,5008,1,3,5,Yes,1,No,0
48,40-49,Female,Research & Development,Manager,8104,1,1,20,Yes,1,Yes,1
55,50+,Male,Research & Development,Manufacturing Director,16385,4,2,7,No,0,No,0
25,Under 30,Male,Sales,Healthcare Representative,3105,2,1,26,No,1,No,0
59,50+,Female,Research & Development,Human Resources,3864,4,2,4,No,0,No,0
27,Under 30,Female,Human Resources,Research Director,13969,2,3,29,No,1,No,0
34,30-39,Female,Sales,Sales Representative,10775,3,2,5,No,0,No,0
55,50+,Female,Research & Development,Manager,13312,2,3,19,No,1,No,0
47,40-49,Male,Sales,Sales Executive,10724,3,2,2,No,0,No,0
37,30-39,Female,Sales,Research Director,14294,1,3,7,No,0,No,0
54,50+,Female,Research & Development,Research Scientist,19689,1,3,16,No,0,No,0
44,40-49,Male,Sales,Sales Representative,16203,1,1,29,Yes,1,Yes,1
45,40-49,Female,Research & Development,Sales Representative,6004,2,1,25,Yes,1,Yes,1
19,Under 30,Male,Sales,Human Resources,3021,2,1,21,Yes,1,Yes,1
41,40-49,Male,Research & Development,Healthcare Representative,15883,3,3,27,No,0,No,0
48,40-49,Male,Research & Development,Laboratory Technician,4761,1,1,21,No,1,Yes,1
19,Under 30,Male,Research & Development,Manufacturing Director,5424,2,3,7,No,0,No,0
45,40-49,Female,Research & Development,Human Resources,5350,4,2,20,No,0,No,0
54,50+,Female,Sales,Manufacturing Director,17109,1,3,25,No,0,No,0
49,40-49,Female,Human Resources,Sales Executive,10646,4,1,13,No,1,No,0
24,Under 30,Male,Research & Development,Research Scientist,17291,1,1,20,No,1,Yes,1
27,Under 30,Male,Human Resources,Sales Representative,18055,2,3,17,No,0,No,0
21,Under 30,Female,Research & Development,Human Resources,18601,2,1,13,No,1,Yes,1
36,30-39,Male,Research & Development,Research Director,12720,3,1,9,No,0,No,0
30,30-39,Male,Research & Development,Sales Executive,15680,1,3,9,No,0,No,0
48,40-49,Male,Research & Development,Manufacturing Director,3589,4,1,7,No,0,No,0
53,50+,Male,Research & Development,Human Resources,18503,4,1,27,Yes,1,Yes,1
48,40-49,Male,Research & Development,Manufacturing Director,11348,1,3,21,No,0,No,0
40,40-49,Male,Research & Development,Manufacturing Director,14214,3,1,14,No,0,No,0
48,40-49,Female,Research & Development,Research Director,13061,1,3,2,No,1,No,0
33,30-39,Male,Sales,Manager,10117,3,1,22,No,0,No,0
39,30-39,Female,Research & Development,Laboratory Technician,3113,4,1,5,Yes,1,Yes,1
26,Under 30,Female,Research & Development,Research Director,17630,2,2,16,No,1,No,0
38,30-39,Male,Human Resources,Healthcare Representative,19581,2,1,28,No,0,Yes,1
18,Under 30,Female,Research & Development,Research Scientist,2381,1,1,1,No,1,Yes,1
32,30-39,Female,Human Resources,Human Resources,14401,2,3,4,Yes,1,Yes,1
24,Under 30,Male,Sales,Human Resources,6634,3,1,23,Yes,1,Yes,1
44,40-49,Female,Sales,Research Director,14415,4,1,29,No,1,No,0
50,50+,Female,Research & Development,Research Scientist,16596,2,2,7,Yes,1,Yes,1
35,30-39,Female,Sales,Sales Executive,5734,4,2,2,No,0,No,0
23,Under 30,Male,Research & Development,Healthcare Representative,7157,3,1,14,No,1,No,0
41,40-49,Female,Human Resources,Sales Executive,11818,2,1,13,No,1,No,0
43,40-49,Male,Sales,Laboratory Technician,18355,3,2,1,No,0,No,0
25,Under 30,Male,Human Resources,Research Scientist,8631,3,1,4,No,0,No,0
57,50+,Female,Research & Development,Laboratory Technician,2340,3,3,14,Yes,1,Yes,1
24,Under 30,Female,Research & Development,Research Scientist,16070,4,1,1,No,1,No,0
51,50+,Female,Sales,Human Resources,3031,1,1,18,Yes,1,Yes,1
47,40-49,Male,Research & Development,Research Director,16375,1,2,16,No,0,No,0
38,30-39,Male,Research & Development,Healthcare Representative,3735,2,1,7,No,1,Yes,1
29,Under 30,Male,Research & Development,Research Scientist,9060,1,3,13,Yes,1,No,0
32,30-39,Female,Research & Development,Research Director,14701,2,3,24,No,0,No,0
37,30-39,Male,Research & Development,Sales Executive,18273,3,2,5,No,0,No,0
51,50+,Male,Research & Development,Research Scientist,6827,3,2,16,No,0,No,0
29,Under 30,Female,Research & Development,Sales Executive,13325,2,1,11,Yes,1,Yes,1
23,Under 30,Female,Sales,Manufacturing Director,8362,2,1,0,No,1,Yes,1
58,50+,Male,Research & Development,Research Scientist,17945,3,3,0,No,0,No,0
52,50+,Female,Research & Development,Healthcare Representative,3209,2,3,18,No,1,No,0
45,40-49,Female,Research & Development,Manager,3063,2,1,20,No,1,No,0
42,40-49,Female,Sales,Human Resources,12487,2,3,21,No,0,No,0
56,50+,Male,Sales,Research Scientist,4829,2,2,17,No,0,No,0
22,Under 30,Male,Research & Development,Sales Executive,5391,2,3,26,Yes,1,Yes,1
41,40-49,Male,Research & Development,Research Scientist,14618,4,2,22,Yes,0,No,0
46,40-49,Male,Human Resources,Healthcare Representative,8354,4,1,14,No,0,No,0
46,40-49,Female,Research & Development,Sales Executive,11884,4,3,23,No,0,No,0
29,Under 30,Male,Research & Development,Manager,2057,3,2,17,No,0,No,0
25,Under 30,Male,Human Resources,Human Resources,15288,4,1,18,No,1,No,0
19,Under 30,Male,Research & Development,Manufacturing Director,3852,1,2,13,No,1,No,0
57,50+,Female,Research & Development,Laboratory Technician,13341,1,1,19,No,1,Yes,1
48,40-49,Female,Research & Development,Laboratory Technician,19591,4,3,1,Yes,1,No,0
19,Under 30,Female,Research & Development,Manufacturing Director,4518,4,3,19,No,1,No,0
34,30-39,Female,Research & Development,Sales Representative,18968,1,2,8,Yes,1,Yes,1
38,30-39,Male,Sales,Human Resources,4240,3,3,9,No,0,No,0
58,50+,Male,Sales,Sales Executive,18707,3,1,6,No,0,No,0
29,Under 30,Female,Sales,Sales Representative,11461,1,3,2,Yes,1,Yes,1
57,50+,Female,Research & Development,Human Resources,14941,3,1,22,Yes,1,Yes,1
20,Under 30,Female,Research & Development,Sales Executive,14863,2,3,9,No,1,No,0
20,Under 30,Female,Sales,Healthcare Representative,2473,4,3,2,No,1,No,0
42,40-49,Male,Sales,Sales Representative,13828,1,3,16,No,0,No,0
41,40-49,Female,Sales,Research Scientist,10964,2,3,20,Yes,1,No,0
57,50+,Male,Human Resources,Research Scientist,15585,2,2,23,No,0,No,0
48,40-49,Female,Research & Development,Laboratory Technician,17037,1,2,29,No,1,No,0
20,Under 30,Male,Sales,Sales Representative,6692,4,2,2,Yes,1,Yes,1
27,Under 30,Male,Human Resources,Research Director,9602,4,1,1,No,1,No,0
45,40-49,Female,Sales,Sales Executive,13544,2,1,24,No,1,No,0
50,50+,Male,Sales,Manufacturing Director,5325,4,2,4,Yes,0,No,0
39,30-39,Female,Human Resources,Sales Representative,18764,2,2,6,No,1,No,0
34,30-39,Male,Research & Development,Sales Executive,11829,3,2,0,No,0,No,0
58,50+,Female,Research & Development,Research Scientist,12109,3,3,0,No,0,No,0
21,Under 30,Male,Research & Development,Sales Executive,10042,1,2,4,No,1,No,0
35,30-39,Male,Research & Development,Human Resources,9271,3,2,11,No,0,No,0
39,30-39,Male,Research & Development,Sales Executive,14969,4,2,2,No,0,No,0
22,Under 30,Male,Research & Development,Manager,8557,4,2,18,No,0,No,0
33,30-39,Female,Research & Development,Sales Representative,4901,1,1,21,No,1,Yes,1
29,Under 30,Female,Sales,Research Director,12513,2,1,29,No,1,No,0
59,50+,Female,Research & Development,Sales Representative,6567,3,1,16,No,1,No,0
51,50+,Male,Human Resources,Manufacturing Director,16171,2,3,23,No,0,No,0
58,50+,Male,Research & Development,Research Scientist,13375,4,1,22,No,0,No,0
22,Under 30,Male,Research & Development,Healthcare Representative,6936,3,1,22,No,0,No,0
20,Under 30,Male,Research & Development,Sales Executive,7080,2,2,20,Yes,1,Yes,1
49,40-49,Female,Sales,Sales Executive,2442,4,3,5,Yes,1,No,0
18,Under 30,Male,Human Resources,Manufacturing Director,6106,4,2,7,Yes,1,No,0
19,Under 30,Male,Research & Development,Manager,12430,2,3,23,Yes,1,Yes,1
52,50+,Male,Sales,Sales Representative,6616,3,2,22,Yes,0,No,0
25,Under 30,Male,Research & Development,Manufacturing Director,19979,1,1,16,No,1,No,0
20,Under 30,Male,Human Resources,Laboratory Technician,7679,2,3,9,Yes,1,No,0
41,40-49,Female,Research & Development,Sales Executive,14081,4,1,11,No,0,No,0
54,50+,Male,Research & Development,Human Resources,8846,3,2,3,No,0,No,0
41,40-49,Male,Research & Development,Human Resources,13453,4,2,12,No,0,No,0
40,40-49,Female,Research & Development,Research Scientist,19440,1,1,27,No,1,No,0
39,30-39,Male,Sales,Research Director,6610,1,3,23,No,0,No,0
19,Under 30,Male,Research & Development,Human Resources,2023,4,2,20,No,0,No,0
30,30-39,Male,Sales,Manager,9004,2,1,26,No,1,Yes,1
26,Under 30,Male,Research & Development,Research Scientist,4421,1,1,9,No,1,Yes,1
40,40-49,Female,Research & Development,Laboratory Technician,8271,4,2,17,No,0,No,0
42,40-49,Male,Research & Development,Human Resources,10296,1,1,5,No,1,Yes,1
39,30-39,Male,Research & Development,Healthcare Representative,12427,1,2,28,No,0,No,0
58,50+,Male,Research & Development,Manufacturing Director,9819,2,1,14,Yes,1,Yes,1
51,50+,Male,Sales,Manager,19866,2,1,26,No,0,No,0
37,30-39,Female,Research & Development,Research Scientist,13221,1,1,10,No,1,Yes,1
58,50+,Female,Research & Development,Research Director,11430,3,1,26,No,1,No,0
34,30-39,Female,Research & Development,Sales Representative,8951,2,2,2,No,1,No,0
57,50+,Female,Sales,Sales Executive,9869,2,3,8,Yes,1,Yes,1
45,40-49,Male,Sales,Human Resources,8800,4,2,0,No,0,No,0
58,50+,Male,Sales,Sales Representative,7868,4,2,3,No,0,No,0
32,30-39,Male,Research & Development,Research Scientist,2073,2,1,15,No,0,Yes,1
31,30-39,Female,Sales,Research Scientist,2266,3,3,4,No,0,No,0
26,Under 30,Female,Research & Development,Laboratory Technician,16313,1,1,16,No,1,Yes,1
23,Under 30,Male,Sales,Manufacturing Director,10901,3,2,9,No,0,No,0
39,30-39,Male,Research & Development,Research Director,11870,4,2,2,No,0,No,0
18,Under 30,Female,Sales,Research Scientist,10063,1,2,12,No,1,No,0
55,50+,Male,Research & Development,Healthcare Representative,9370,3,3,17,Yes,0,Yes,1
49,40-49,Male,Sales,Sales Representative,5217,1,1,12,No,0,Yes,1
42,40-49,Male,Research & Development,Sales Executive,9163,1,3,28,No,0,No,0
44,40-49,Male,Human Resources,Sales Representative,17075,4,1,21,Yes,1,Yes,1
32,30-39,Male,Sales,Healthcare Representative,15276,3,2,15,Yes,0,No,0
50,50+,Female,Research & Development,Laboratory Technician,12944,4,1,20,No,1,No,0
48,40-49,Female,Human Resources,Research Scientist,5774,4,2,18,Yes,1,No,0
22,Under 30,Female,Sales,Research Director,5793,1,1,14,No,1,Yes,1
50,50+,Male,Research & Development,Manufacturing Director,2879,4,1,14,No,0,No,0
58,50+,Male,Sales,Research Scientist,15208,3,3,15,No,0,No,0
32,30-39,Male,Research & Development,Manufacturing Director,3690,2,3,21,No,0,No,0
46,40-49,Female,Research & Development,Laboratory Technician,8643,1,3,5,No,0,No,0
53,50+,Male,Research & Development,Sales Executive,17244,3,3,21,Yes,0,No,0
31,30-39,Female,Research & Development,Human Resources,8676,1,2,16,No,1,No,0
37,30-39,Female,Research & Development,Manufacturing Director,6307,2,2,11,Yes,1,Yes,1
46,40-49,Male,Research & Development,Laboratory Technician,13656,1,3,12,No,0,No,0
24,Under 30,Female,Research & Development,Manufacturing Director,18400,3,3,4,No,0,No,0
20,Under 30,Male,Human Resources,Sales Representative,16760,4,3,7,No,0,No,0
27,Under 30,Female,Research & Development,Sales Executive,10706,3,3,24,No,1,No,0
40,40-49,Male,Research & Development,Sales Representative,2665,2,2,0,No,1,Yes,1
53,50+,Male,Research & Development,Laboratory Technician,13080,3,1,14,No,0,No,0
42,40-49,Male,Research & Development,Healthcare Representative,13301,4,2,22,No,0,No,0
49,40-49,Female,Human Resources,Sales Executive,6369,2,2,18,No,0,No,0
33,30-39,Male,Research & Development,Sales Executive,13557,2,3,1,No,0,Yes,1
29,Under 30,Male,Research & Development,Research Scientist,2486,3,1,18,Yes,1,Yes,1
36,30-39,Male,Sales,Human Resources,18531,2,2,24,No,0,No,0
25,Under 30,Male,Sales,Human Resources,11435,3,3,20,Yes,1,No,0
59,50+,Female,Research & Development,Manufacturing Director,15693,1,2,4,No,1,No,0
19,Under 30,Female,Research & Development,Manager,11037,2,1,5,Yes,1,Yes,1
